Robot starting...
ABACK 4
ABASE 3
ABATE 4
ABBEY 4
ABBOT 4
ABHOR 4
ABIDE 3
ABLED 4
ABODE 4
ABORT 3
ABOUT 4
ABOVE 4
ABUSE 3
ABYSS 3
ACORN 3
ACRID 3
ACTOR 3
ACUTE 3
ADAGE 4
ADAPT 4
ADEPT 4
ADMIN 4
ADMIT 4
ADOBE 3
ADOPT 4
ADORE 4
ADORN 3
ADULT 4
AFFIX 4
AFIRE 2
AFOOT 4
AFOUL 4
AFTER 3
AGAIN 4
AGAPE 4
AGATE 4
AGENT 4
AGILE 3
AGING 4
AGLOW 4
AGONY 4
AGORA 4
AGREE 3
AHEAD 4
AIDER 2
AISLE 2
ALARM 4
ALBUM 4
ALERT 4
ALGAE 4
ALIBI 4
ALIEN 2
ALIGN 4
ALIKE 3
ALIVE 3
ALLAY 3
ALLEY 3
ALLOT 4
ALLOW 4
ALLOY 4
ALOFT 4
ALONE 3
ALONG 4
ALOOF 4
ALOUD 4
ALPHA 4
ALTAR 4
ALTER 4
AMASS 3
AMAZE 3
AMBER 3
AMBLE 3
AMEND 4
AMISS 2
AMITY 3
AMONG 4
AMPLE 3
AMPLY 4
AMUSE 3
ANGEL 3
ANGER 4
ANGLE 4
ANGRY 4
ANGST 3
ANIME 3
ANKLE 3
